x,"Individual Element Complexity","Size and Structural Class Complexity::NC","Size and Structural Class Complexity::NA","Size and Structural Class Complexity::NM","Size and Structural Class Complexity::NAssoc","Size and Structural Class Complexity::NAgg","Size and Structural Class Complexity::NDep","Size and Structural Class Complexity::NGen","Size and Structural Class Complexity::NGenH","Size and Structural Class Complexity::MaxDIT","Size and Structural Class Complexity::MaxHAgg","Weighted Dependency Graph Complexity"
1.3.0,5081,57,165,441,20,0,178,25,9,2,0,2.6230840041293
1.3.1,5124,53,164,455,19,0,179,23,9,2,0,2.5739247226927
1.3.3,5174,53,166,463,17,0,180,23,9,2,0,2.5758615919216
1.3.4,5539,63,181,508,17,0,199,31,9,3,0,2.4540803767368
1.3.5,5613,62,175,525,19,0,169,28,10,2,0,2.5049032499957
1.3.6,5446,62,172,512,19,0,169,28,10,2,0,2.5074856290043
1.3.7,5621,64,177,533,20,0,170,28,10,2,0,2.5015325685683
1.3.8,5688,64,180,539,20,0,170,28,10,2,0,2.5041219941937
1.3.9,5740,64,182,543,20,0,170,28,10,2,0,2.503933197961
1.4.0,6046,65,189,572,22,0,174,28,9,2,0,2.4870126601546
1.4.1,6273,69,196,595,24,0,178,28,9,2,0,2.4815461772823
1.5.0,6464,71,214,614,24,0,187,29,9,2,0,2.5040324184538
1.5.1,6464,71,214,614,24,0,187,29,9,2,0,2.5040324184538
1.5.2,6552,71,214,627,24,0,190,29,9,2,0,2.5114487745676
1.5.3,6598,71,217,630,26,0,190,29,9,2,0,2.5109251067357
